ID,Nombre,Lineas,Latitud,Longitud
20,Pantitlán,1-5-9-A,19.4151186,-99.0769359
72,Hangares,5,19.424142,-99.087496
73,Termminal Aereo,5,19.433734,-99.087667
74,Oceania,5-B,19.445672,-99.087238
75,Aragon,5,19.451236,-99.095886
76,Eduardo Molina,5,19.451378,-99.105434
66,Consulado,4-5,19.457893,-99.113932
77,Valle Gomez,5,19.458742, -99.119296
78,Misterios,5,19.463315,-99.130797
47,La Raza,3-5,19.4702017,-99.1385607
79,Autobuses del Norte,5,9.478973,-99.140668
80,Instituto del Petroleo,5-6,19.489573,-99.14526
81,Politecnico,5,19.50082,-99.149294
