ID,Nombre,Lineas,Latitud,Longitud
2,Tacubaya,1-7-9,19.4031642,-99.1875048
116,Patriotismo,9,19.4053543,-99.1805405
117,Chilpancingo,9,19.4058978,-99.1694882
53,Centro Médico,3-9,19.40665,-99.1574342
118,Lázaro Cardenas,9,19.4073034,-99.1466174
35,Chabacano,2-5-8,19.4086366,-99.1348925
70,Jamaica,4-9,19.409004,-99.122171
119,Mixihuca,9,19.4088598,-99.1136898
120,Velodromo,9,19.408358,-99.1041177
121,Ciudad Deportiva,9,19.4083994,-99.0924881
122,Puebla,9,19.4069212,-99.0851585
20,Pantitlán,1-5-9-A,19.4151186,-99.0769359
