ID,Nombre,Lineas,Latitud,Longitud
1,Observatorio,1-9,19.3988437,-99.2007326
2,Tacubaya,1-7-9,19.4031642,-99.1875048
3,Juanacatlán,1,19.41293,-99.18208
4,Chapultepec,1,19.42177,-99.1789449
5,Sevilla,1,19.421501,-99.1736021
6,Insurgentes,1,19.423746,-99.165535
7,Cuauhtémoc,1,19.4255,-99.1571149
8,Balderas,1-3,19.42723,-99.1511649
9,Salto del Agua,1-8,19.42643,-99.1469449
10,Isabel la Católica,1,19.4264735,-99.1403328
11,Pino Suárez,1-2,19.42438,-99.1355149
12,Merced,1,19.42572,-99.1286249
13,Candelaria,1-4,19.4291993,-99.1219226
14,San Lázaro,1-B,19.43091,-99.1177449
15,Moctezuma,1,19.42637,-99.1118443
16,Balbuena,1,19.42296,-99.1052549
17,Boulevard Puerto Aéreo,1,19.42296,-99.1052549
18,Gómez Farías,1,19.41672,-99.0925049
19,Zaragoza,1,19.412017,-99.0851799
20,Pantitlán,1-5-9-A,19.4151186,-99.0769359
