ID,Nombre,Lineas,Latitud,Longitud
20,Pantitlán,1-5-9-A,19.4151186,-99.0769359
123,Agrícola Oriental,A,19.4046213,-99.0721726
124,Canal de San Juan,A,19.39742,-99.0608649
125,Tepalcates,A,19.3907035,-99.0501572
126,Guelatao,A,19.385144,-99.0382299
127,Peñon Viejo,A,19.3753,-99.0188449
128,Acatitla,A,19.36538,-99.0079949
129,Santa Marta,A,19.3593624,-98.9971956
130,Los Reyes,A,19.3600179,-98.9852205
131,La Paz,A,19.3521832,-98.9639344
